"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/brandon/Documents/GitHub/farkle/firebase-cloud-functions/functions/index.js", "JavaScript", 11, 4, 2, 17
"Total", "-", 11, 4, 2, 17
